Symbol	TestNum	SigNum	HarmonicP	SigProp	MR
si:dkey-14d8.6	15	4	0.00786892106213526	0.266666666666667	1353.71710486349
ssuh2rs1	24	5	0.00845394944319966	0.208333333333333	1354.0694221494
arhgap27l	20	4	0.0078866583805696	0.2	1355.61572726197
cmpk	24	6	0.00964126155141257	0.25	1356.56404198254
pdia5	23	6	0.00964302191489601	0.260869565217391	1356.9156200737
sf3b6	24	6	0.00964536759904589	0.25	1357.26710709425
sec61a1	24	6	0.00966133043521646	0.25	1358.67214588362
rpl10	24	6	0.00969361316650817	0.25	1360.77698393234
eif1	24	6	0.00971434221117461	0.25	1363.2285208284
top1	9	5	0.00851307306151498	0.555555555555556	1363.2666650366
eif4g2b	24	6	0.00971684291879586	0.25	1363.57838058544
zgc:158868	7	3	0.00750384998177341	0.428571428571429	1363.85079829137
nip7	24	6	0.00973140025426819	0.25	1364.97692288185
hsdl2	24	5	0.00856353332739562	0.208333333333333	1365.76425491371
wee1	9	2	0.00713185623790465	0.222222222222222	1366.01610532233
nudt21	24	6	0.00975958743602845	0.25	1367.42093007238
prkx	12	3	0.00752735768260691	0.25	1368.01206135034
actb1	24	5	0.00859364218967599	0.208333333333333	1368.25728574709
cyp17a1	5	3	0.00753743076554364	0.6	1369.05040082533
zbtb2b	18	4	0.00797237640357423	0.222222222222222	1369.30201197544
pcdh11	4	2	0.00716052503729757	0.5	1369.42688742408
smim14	21	6	0.00977570537301566	0.285714285714286	1369.5123219599
nutf2l	24	6	0.00978402062143438	0.25	1370.20874322127
ogdhb	18	5	0.00863149586610684	0.277777777777778	1371.57427797404
ppfia4	2	1	0.00671853902401798	0.5	1371.68473054124
tmtc4	2	1	0.00671853902401798	0.5	1371.68473054124
parp9	10	4	0.00799536327850266	0.4	1373.52175082887
atp5f1b	24	6	0.00982911783658618	0.25	1374.72688196601
ttr	4	2	0.0072091052645376	0.5	1376.22309238001
ip6k2b	24	6	0.00985435484871329	0.25	1378.19229427537
osgep	12	5	0.00871283705604277	0.416666666666667	1379.83187381652
cyp46a1.3	6	4	0.00802498622528434	0.666666666666667	1382.38778929792
hexa	7	3	0.00763538826199592	0.428571428571429	1382.99168471831
cd36	4	2	0.00725657868433175	0.5	1384.67144117296
naprt	12	5	0.00881060254738653	0.416666666666667	1385.99278497401
usp43a	12	5	0.00881662914929486	0.416666666666667	1386.81217185313
ppib	24	4	0.0080613456150622	0.166666666666667	1387.03136229863
sdad1	24	5	0.00882038722415636	0.208333333333333	1388.44949494031
dhrs11b	3	1	0.00679792465439609	0.333333333333333	1389.40095005006
slc35c1	19	6	0.00998142569365192	0.315789473684211	1390.93925100991
asip2b	6	2	0.00727881750206334	0.333333333333333	1391.39318670173
dgkzb	17	5	0.00884594196574991	0.294117647058824	1391.7183623133
thrap3a	3	1	0.00681754660728026	0.333333333333333	1391.91343121618
pkz	3	2	0.00730293709811398	0.666666666666667	1394.74191160946
wdr45b	22	4	0.00811899298386441	0.181818181818182	1394.88995981762
CABZ01015525.1	13	5	0.00890206004750436	0.384615384615385	1397.01395841273
zmp:0000000606	4	2	0.00732954952080617	0.5	1398.63862380531
agt	2	1	0.00685563412538364	0.5	1398.799485273
tmem9	4	1	0.00686211058985559	0.25	1400.67162461442
si:ch211-197h24.9	4	1	0.00686623105835129	0.25	1401.91832857695
ENSDARG00000020224	10	3	0.00774137805026008	0.3	1404.40307604334
CABZ01067080.1	2	1	0.0068738604969403	0.5	1404.40841638036
ehhadh	2	1	0.0068738604969403	0.5	1404.40841638036
slc51a	2	1	0.0068738604969403	0.5	1404.40841638036
slc35d1b	4	2	0.00738082728144168	0.5	1405.84671995207
angptl1a	9	3	0.00775597556454671	0.333333333333333	1405.91998349835
prkcq	3	1	0.00688465778605816	0.333333333333333	1406.89409693836
hdac10	12	4	0.0082194310584466	0.333333333333333	1408.65112785246
zgc:113162	10	2	0.00739965318476725	0.2	1410.26415965237
wu:fa56d06	6	2	0.00742737125374734	0.333333333333333	1413.56818017385
si:dkey-192g7.3	11	5	0.00903231943675467	0.454545454545455	1416.79638621786
fxyd6l	24	4	0.0082818142425465	0.166666666666667	1417.75103597211
si:ch211-227e10.6	6	2	0.00744642617104636	0.333333333333333	1417.96156506444
taok3a	17	5	0.00904257192621019	0.294117647058824	1417.99858956206
ankrd40	15	3	0.00784635902181555	0.2	1418.99859055603
aspg	18	4	0.00828443604723596	0.222222222222222	1419.1109893169
noc2l	24	5	0.00905511609463194	0.208333333333333	1419.19977452084
ugt5c3	3	2	0.00746297305637646	0.666666666666667	1420.15316075415
nsfb	20	5	0.00906368423221435	0.25	1420.79977477476
erap1b	3	2	0.00747780032791876	0.666666666666667	1421.247691291
apoea	8	5	0.00908225678473037	0.625	1422.7972448666
smchd1	3	1	0.00699810106423598	0.333333333333333	1423.55892045254
BX005421.2	1	1	0.006999000999001	1	1424.17239125044
afap1l1a	1	1	0.006999000999001	1	1424.17239125044
anos1a	1	1	0.006999000999001	1	1424.17239125044
psmb13a	1	1	0.006999000999001	1	1424.17239125044
